LineId,EventId,OriginalLog,TemplateGeneric,TemplateAnnotated,VariablesJson,Output,OutputTemplateGeneric,OutputTemplateAnnotated,OutputVariablesJson
10,E11,81109 204655 556 INFO dfs.DataNode$PacketResponder: Received block blk_3587508140051953248 of size 67108864 from /10.251.42.84,<*> <*> <*> <*> <*>: Received block blk_<*> of size <*> from /<*>,<DATE> <TIME> <PID> <LOG_LEVEL> <COMPONENT>: Received block blk_<BLOCK_ID> of size <SIZE> from /<IP_ADDRESS>,"{""DATE"": ""81109"", ""TIME"": ""204655"", ""PID"": ""556"", ""LOG_LEVEL"": ""INFO"", ""COMPONENT"": ""dfs.DataNode$PacketResponder"", ""BLOCK_ID"": ""3587508140051953248"", ""SIZE"": ""67108864"", ""IP_ADDRESS"": ""10.251.42.84""}","{""template"": ""<DATE> <TIME> <PID> <LOG_LEVEL> <COMPONENT>: Received block blk_<BLOCK_ID> of size <SIZE> from /<IP_ADDRESS>"", ""variables"": {""DATE"": ""81109"", ""TIME"": ""204655"", ""PID"": ""556"", ""LOG_LEVEL"": ""INFO"", ""COMPONENT"": ""dfs.DataNode$PacketResponder"", ""BLOCK_ID"": ""3587508140051953248"", ""SIZE"": ""67108864"", ""IP_ADDRESS"": ""10.251.42.84""}, ""original_log"": ""81109 204655 556 INFO dfs.DataNode$PacketResponder: Received block blk_3587508140051953248 of size 67108864 from /10.251.42.84""}",<*> <*> <*> <*> <*>: Received block blk_<*> of size <*> from /<*>,<DATE> <TIME> <PID> <LOG_LEVEL> <COMPONENT>: Received block blk_<BLOCK_ID> of size <SIZE> from /<IP_ADDRESS>,"{""DATE"": ""81109"", ""TIME"": ""204655"", ""PID"": ""556"", ""LOG_LEVEL"": ""INFO"", ""COMPONENT"": ""dfs.DataNode$PacketResponder"", ""BLOCK_ID"": ""3587508140051953248"", ""SIZE"": ""67108864"", ""IP_ADDRESS"": ""10.251.42.84""}"
11,E11,81109 204722 567 INFO dfs.DataNode$PacketResponder: Received block blk_5402003568334525940 of size 67108864 from /10.251.214.112,<*> <*> <*> <*> <*>: Received block blk_<*> of size <*> from /<*>,<DATE> <TIME> <PID> <LOG_LEVEL> <COMPONENT>: Received block blk_<BLOCK_ID> of size <SIZE> from /<IP_ADDRESS>,"{""DATE"": ""81109"", ""TIME"": ""204722"", ""PID"": ""567"", ""LOG_LEVEL"": ""INFO"", ""COMPONENT"": ""dfs.DataNode$PacketResponder"", ""BLOCK_ID"": ""5402003568334525940"", ""SIZE"": ""67108864"", ""IP_ADDRESS"": ""10.251.214.112""}","{""template"": ""<DATE> <TIME> <PID> <LOG_LEVEL> <COMPONENT>: Received block blk_<BLOCK_ID> of size <SIZE> from /<IP_ADDRESS>"", ""variables"": {""DATE"": ""81109"", ""TIME"": ""204722"", ""PID"": ""567"", ""LOG_LEVEL"": ""INFO"", ""COMPONENT"": ""dfs.DataNode$PacketResponder"", ""BLOCK_ID"": ""5402003568334525940"", ""SIZE"": ""67108864"", ""IP_ADDRESS"": ""10.251.214.112""}, ""original_log"": ""81109 204722 567 INFO dfs.DataNode$PacketResponder: Received block blk_5402003568334525940 of size 67108864 from /10.251.214.112""}",<*> <*> <*> <*> <*>: Received block blk_<*> of size <*> from /<*>,<DATE> <TIME> <PID> <LOG_LEVEL> <COMPONENT>: Received block blk_<BLOCK_ID> of size <SIZE> from /<IP_ADDRESS>,"{""DATE"": ""81109"", ""TIME"": ""204722"", ""PID"": ""567"", ""LOG_LEVEL"": ""INFO"", ""COMPONENT"": ""dfs.DataNode$PacketResponder"", ""BLOCK_ID"": ""5402003568334525940"", ""SIZE"": ""67108864"", ""IP_ADDRESS"": ""10.251.214.112""}"
12,E13,81109 204815 653 INFO dfs.DataNode$DataXceiver: Receiving block blk_5792489080791696128 src: /10.251.30.6:33145 dest: /10.251.30.6:50010,<*> <*> <*> <*> <*>: Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,<DATE> <TIME> <PID> <LOG_LEVEL> <COMPONENT>: Receiving block blk_<BLOCK_ID> src: /<SRC_IP_ADDRESS>:<SRC_PORT> dest: /<DEST_IP_ADDRESS>:<DEST_PORT>,"{""DATE"": ""81109"", ""TIME"": ""204815"", ""PID"": ""653"", ""LOG_LEVEL"": ""INFO"", ""COMPONENT"": ""dfs.DataNode$DataXceiver"", ""BLOCK_ID"": ""5792489080791696128"", ""SRC_IP_ADDRESS"": ""10.251.30.6"", ""SRC_PORT"": ""33145"", ""DEST_IP_ADDRESS"": ""10.251.30.6"", ""DEST_PORT"": ""50010""}","{""template"": ""<DATE> <TIME> <PID> <LOG_LEVEL> <COMPONENT>: Receiving block blk_<BLOCK_ID> src: /<IP_ADDRESS_1>:<PORT_1> dest: /<IP_ADDRESS_2>:<PORT_2>"", ""variables"": {""DATE"": ""81109"", ""TIME"": ""204815"", ""PID"": ""653"", ""LOG_LEVEL"": ""INFO"", ""COMPONENT"": ""dfs.DataNode$DataXceiver"", ""BLOCK_ID"": ""5792489080791696128"", ""IP_ADDRESS_1"": ""10.251.30.6"", ""PORT_1"": ""33145"", ""IP_ADDRESS_2"": ""10.251.30.6"", ""PORT_2"": ""50010""}, ""original_log"": ""81109 204815 653 INFO dfs.DataNode$DataXceiver: Receiving block blk_5792489080791696128 src: /10.251.30.6:33145 dest: /10.251.30.6:50010""}",<*> <*> <*> <*> <*>: Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,<DATE> <TIME> <PID> <LOG_LEVEL> <COMPONENT>: Receiving block blk_<BLOCK_ID> src: /<IP_ADDRESS_1>:<PORT_1> dest: /<IP_ADDRESS_2>:<PORT_2>,"{""DATE"": ""81109"", ""TIME"": ""204815"", ""PID"": ""653"", ""LOG_LEVEL"": ""INFO"", ""COMPONENT"": ""dfs.DataNode$DataXceiver"", ""BLOCK_ID"": ""5792489080791696128"", ""IP_ADDRESS_1"": ""10.251.30.6"", ""PORT_1"": ""33145"", ""IP_ADDRESS_2"": ""10.251.30.6"", ""PORT_2"": ""50010""}"
13,E13,81109 204842 663 INFO dfs.DataNode$DataXceiver: Receiving block blk_1724757848743533110 src: /10.251.111.130:49851 dest: /10.251.111.130:50010,<*> <*> <*> <*> <*>: Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,<DATE> <TIME> <PID> <LOG_LEVEL> <COMPONENT>: Receiving block blk_<BLOCK_ID> src: /<SRC_IP_ADDRESS>:<SRC_PORT> dest: /<DEST_IP_ADDRESS>:<DEST_PORT>,"{""DATE"": ""81109"", ""TIME"": ""204842"", ""PID"": ""663"", ""LOG_LEVEL"": ""INFO"", ""COMPONENT"": ""dfs.DataNode$DataXceiver"", ""BLOCK_ID"": ""1724757848743533110"", ""SRC_IP_ADDRESS"": ""10.251.111.130"", ""SRC_PORT"": ""49851"", ""DEST_IP_ADDRESS"": ""10.251.111.130"", ""DEST_PORT"": ""50010""}","{""template"": ""<DATE> <TIME> <PID> <LOG_LEVEL> <COMPONENT>: Receiving block blk_<BLOCK_ID> src: /<IP_ADDRESS_1>:<PORT_1> dest: /<IP_ADDRESS_2>:<PORT_2>"", ""variables"": {""DATE"": ""81109"", ""TIME"": ""204842"", ""PID"": ""663"", ""LOG_LEVEL"": ""INFO"", ""COMPONENT"": ""dfs.DataNode$DataXceiver"", ""BLOCK_ID"": ""1724757848743533110"", ""IP_ADDRESS_1"": ""10.251.111.130"", ""PORT_1"": ""49851"", ""IP_ADDRESS_2"": ""10.251.111.130"", ""PORT_2"": ""50010""}, ""original_log"": ""81109 204842 663 INFO dfs.DataNode$DataXceiver: Receiving block blk_1724757848743533110 src: /10.251.111.130:49851 dest: /10.251.111.130:50010""}",<*> <*> <*> <*> <*>: Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,<DATE> <TIME> <PID> <LOG_LEVEL> <COMPONENT>: Receiving block blk_<BLOCK_ID> src: /<IP_ADDRESS_1>:<PORT_1> dest: /<IP_ADDRESS_2>:<PORT_2>,"{""DATE"": ""81109"", ""TIME"": ""204842"", ""PID"": ""663"", ""LOG_LEVEL"": ""INFO"", ""COMPONENT"": ""dfs.DataNode$DataXceiver"", ""BLOCK_ID"": ""1724757848743533110"", ""IP_ADDRESS_1"": ""10.251.111.130"", ""PORT_1"": ""49851"", ""IP_ADDRESS_2"": ""10.251.111.130"", ""PORT_2"": ""50010""}"
15,E13,81109 204925 673 INFO dfs.DataNode$DataXceiver: Receiving block blk_-5623176793330377570 src: /10.251.75.228:53725 dest: /10.251.75.228:50010,<*> <*> <*> <*> <*>: Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,<DATE> <TIME> <PID> <LOG_LEVEL> <COMPONENT>: Receiving block blk_<BLOCK_ID> src: /<SRC_IP_ADDRESS>:<SRC_PORT> dest: /<DEST_IP_ADDRESS>:<DEST_PORT>,"{""DATE"": ""81109"", ""TIME"": ""204925"", ""PID"": ""673"", ""LOG_LEVEL"": ""INFO"", ""COMPONENT"": ""dfs.DataNode$DataXceiver"", ""BLOCK_ID"": ""-5623176793330377570"", ""SRC_IP_ADDRESS"": ""10.251.75.228"", ""SRC_PORT"": ""53725"", ""DEST_IP_ADDRESS"": ""10.251.75.228"", ""DEST_PORT"": ""50010""}","{""template"": ""<DATE> <TIME> <PID> <LOG_LEVEL> <COMPONENT>: Receiving block blk_<BLOCK_ID> src: /<IP_ADDRESS_1>:<PORT_1> dest: /<IP_ADDRESS_2>:<PORT_2>"", ""variables"": {""DATE"": ""81109"", ""TIME"": ""204925"", ""PID"": ""673"", ""LOG_LEVEL"": ""INFO"", ""COMPONENT"": ""dfs.DataNode$DataXceiver"", ""BLOCK_ID"": ""-5623176793330377570"", ""IP_ADDRESS_1"": ""10.251.75.228"", ""PORT_1"": ""53725"", ""IP_ADDRESS_2"": ""10.251.75.228"", ""PORT_2"": ""50010""}, ""original_log"": ""81109 204925 673 INFO dfs.DataNode$DataXceiver: Receiving block blk_-5623176793330377570 src: /10.251.75.228:53725 dest: /10.251.75.228:50010""}",<*> <*> <*> <*> <*>: Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,<DATE> <TIME> <PID> <LOG_LEVEL> <COMPONENT>: Receiving block blk_<BLOCK_ID> src: /<IP_ADDRESS_1>:<PORT_1> dest: /<IP_ADDRESS_2>:<PORT_2>,"{""DATE"": ""81109"", ""TIME"": ""204925"", ""PID"": ""673"", ""LOG_LEVEL"": ""INFO"", ""COMPONENT"": ""dfs.DataNode$DataXceiver"", ""BLOCK_ID"": ""-5623176793330377570"", ""IP_ADDRESS_1"": ""10.251.75.228"", ""PORT_1"": ""53725"", ""IP_ADDRESS_2"": ""10.251.75.228"", ""PORT_2"": ""50010""}"
18,E11,81109 205157 752 INFO dfs.DataNode$PacketResponder: Received block blk_9212264480425680329 of size 67108864 from /10.251.123.1,<*> <*> <*> <*> <*>: Received block blk_<*> of size <*> from /<*>,<DATE> <TIME> <PID> <LOG_LEVEL> <COMPONENT>: Received block blk_<BLOCK_ID> of size <SIZE> from /<IP_ADDRESS>,"{""DATE"": ""81109"", ""TIME"": ""205157"", ""PID"": ""752"", ""LOG_LEVEL"": ""INFO"", ""COMPONENT"": ""dfs.DataNode$PacketResponder"", ""BLOCK_ID"": ""9212264480425680329"", ""SIZE"": ""67108864"", ""IP_ADDRESS"": ""10.251.123.1""}","{""template"": ""<DATE> <TIME> <PID> <LOG_LEVEL> <COMPONENT>: Received block blk_<BLOCK_ID> of size <SIZE> from /<IP_ADDRESS>"", ""variables"": {""DATE"": ""81109"", ""TIME"": ""205157"", ""PID"": ""752"", ""LOG_LEVEL"": ""INFO"", ""COMPONENT"": ""dfs.DataNode$PacketResponder"", ""BLOCK_ID"": ""9212264480425680329"", ""SIZE"": ""67108864"", ""IP_ADDRESS"": ""10.251.123.1""}, ""original_log"": ""81109 205157 752 INFO dfs.DataNode$PacketResponder: Received block blk_9212264480425680329 of size 67108864 from /10.251.123.1""}",<*> <*> <*> <*> <*>: Received block blk_<*> of size <*> from /<*>,<DATE> <TIME> <PID> <LOG_LEVEL> <COMPONENT>: Received block blk_<BLOCK_ID> of size <SIZE> from /<IP_ADDRESS>,"{""DATE"": ""81109"", ""TIME"": ""205157"", ""PID"": ""752"", ""LOG_LEVEL"": ""INFO"", ""COMPONENT"": ""dfs.DataNode$PacketResponder"", ""BLOCK_ID"": ""9212264480425680329"", ""SIZE"": ""67108864"", ""IP_ADDRESS"": ""10.251.123.1""}"
21,E11,81109 205412 832 INFO dfs.DataNode$PacketResponder: Received block blk_-5704899712662113150 of size 67108864 from /10.251.91.229,<*> <*> <*> <*> <*>: Received block blk_<*> of size <*> from /<*>,<DATE> <TIME> <PID> <LOG_LEVEL> <COMPONENT>: Received block blk_<BLOCK_ID> of size <SIZE> from /<IP_ADDRESS>,"{""DATE"": ""81109"", ""TIME"": ""205412"", ""PID"": ""832"", ""LOG_LEVEL"": ""INFO"", ""COMPONENT"": ""dfs.DataNode$PacketResponder"", ""BLOCK_ID"": ""-5704899712662113150"", ""SIZE"": ""67108864"", ""IP_ADDRESS"": ""10.251.91.229""}","{""template"": ""<DATE> <TIME> <PID> <LOG_LEVEL> <COMPONENT>: Received block blk_<BLOCK_ID> of size <SIZE> from /<IP_ADDRESS>"", ""variables"": {""DATE"": ""81109"", ""TIME"": ""205412"", ""PID"": ""832"", ""LOG_LEVEL"": ""INFO"", ""COMPONENT"": ""dfs.DataNode$PacketResponder"", ""BLOCK_ID"": ""-5704899712662113150"", ""SIZE"": ""67108864"", ""IP_ADDRESS"": ""10.251.91.229""}, ""original_log"": ""81109 205412 832 INFO dfs.DataNode$PacketResponder: Received block blk_-5704899712662113150 of size 67108864 from /10.251.91.229""}",<*> <*> <*> <*> <*>: Received block blk_<*> of size <*> from /<*>,<DATE> <TIME> <PID> <LOG_LEVEL> <COMPONENT>: Received block blk_<BLOCK_ID> of size <SIZE> from /<IP_ADDRESS>,"{""DATE"": ""81109"", ""TIME"": ""205412"", ""PID"": ""832"", ""LOG_LEVEL"": ""INFO"", ""COMPONENT"": ""dfs.DataNode$PacketResponder"", ""BLOCK_ID"": ""-5704899712662113150"", ""SIZE"": ""67108864"", ""IP_ADDRESS"": ""10.251.91.229""}"
24,E11,81109 205742 1001 INFO dfs.DataNode$PacketResponder: Received block blk_-5861636720645142679 of size 67108864 from /10.251.70.211,<*> <*> <*> <*> <*>: Received block blk_<*> of size <*> from /<*>,<DATE> <TIME> <PID> <LOG_LEVEL> <COMPONENT>: Received block blk_<BLOCK_ID> of size <SIZE> from /<IP_ADDRESS>,"{""DATE"": ""81109"", ""TIME"": ""205742"", ""PID"": ""1001"", ""LOG_LEVEL"": ""INFO"", ""COMPONENT"": ""dfs.DataNode$PacketResponder"", ""BLOCK_ID"": ""-5861636720645142679"", ""SIZE"": ""67108864"", ""IP_ADDRESS"": ""10.251.70.211""}","{""template"": ""<DATE> <TIME> <PID> <LOG_LEVEL> <COMPONENT>: Received block blk_<BLOCK_ID> of size <SIZE> from /<IP_ADDRESS>"", ""variables"": {""DATE"": ""81109"", ""TIME"": ""205742"", ""PID"": ""1001"", ""LOG_LEVEL"": ""INFO"", ""COMPONENT"": ""dfs.DataNode$PacketResponder"", ""BLOCK_ID"": ""-5861636720645142679"", ""SIZE"": ""67108864"", ""IP_ADDRESS"": ""10.251.70.211""}, ""original_log"": ""81109 205742 1001 INFO dfs.DataNode$PacketResponder: Received block blk_-5861636720645142679 of size 67108864 from /10.251.70.211""}",<*> <*> <*> <*> <*>: Received block blk_<*> of size <*> from /<*>,<DATE> <TIME> <PID> <LOG_LEVEL> <COMPONENT>: Received block blk_<BLOCK_ID> of size <SIZE> from /<IP_ADDRESS>,"{""DATE"": ""81109"", ""TIME"": ""205742"", ""PID"": ""1001"", ""LOG_LEVEL"": ""INFO"", ""COMPONENT"": ""dfs.DataNode$PacketResponder"", ""BLOCK_ID"": ""-5861636720645142679"", ""SIZE"": ""67108864"", ""IP_ADDRESS"": ""10.251.70.211""}"
26,E13,81109 205749 997 INFO dfs.DataNode$DataXceiver: Receiving block blk_-28342503914935090 src: /10.251.123.132:57542 dest: /10.251.123.132:50010,<*> <*> <*> <*> <*>: Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,<DATE> <TIME> <PID> <LOG_LEVEL> <COMPONENT>: Receiving block blk_<BLOCK_ID> src: /<SRC_IP_ADDRESS>:<SRC_PORT> dest: /<DEST_IP_ADDRESS>:<DEST_PORT>,"{""DATE"": ""81109"", ""TIME"": ""205749"", ""PID"": ""997"", ""LOG_LEVEL"": ""INFO"", ""COMPONENT"": ""dfs.DataNode$DataXceiver"", ""BLOCK_ID"": ""-28342503914935090"", ""SRC_IP_ADDRESS"": ""10.251.123.132"", ""SRC_PORT"": ""57542"", ""DEST_IP_ADDRESS"": ""10.251.123.132"", ""DEST_PORT"": ""50010""}","{""template"": ""<DATE> <TIME> <PID> <LOG_LEVEL> <COMPONENT>: Receiving block blk_<BLOCK_ID> src: /<IP_ADDRESS_1>:<PORT_1> dest: /<IP_ADDRESS_2>:<PORT_2>"", ""variables"": {""DATE"": ""81109"", ""TIME"": ""205749"", ""PID"": ""997"", ""LOG_LEVEL"": ""INFO"", ""COMPONENT"": ""dfs.DataNode$DataXceiver"", ""BLOCK_ID"": ""-28342503914935090"", ""IP_ADDRESS_1"": ""10.251.123.132"", ""PORT_1"": ""57542"", ""IP_ADDRESS_2"": ""10.251.123.132"", ""PORT_2"": ""50010""}, ""original_log"": ""81109 205749 997 INFO dfs.DataNode$DataXceiver: Receiving block blk_-28342503914935090 src: /10.251.123.132:57542 dest: /10.251.123.132:50010""}",<*> <*> <*> <*> <*>: Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,<DATE> <TIME> <PID> <LOG_LEVEL> <COMPONENT>: Receiving block blk_<BLOCK_ID> src: /<IP_ADDRESS_1>:<PORT_1> dest: /<IP_ADDRESS_2>:<PORT_2>,"{""DATE"": ""81109"", ""TIME"": ""205749"", ""PID"": ""997"", ""LOG_LEVEL"": ""INFO"", ""COMPONENT"": ""dfs.DataNode$DataXceiver"", ""BLOCK_ID"": ""-28342503914935090"", ""IP_ADDRESS_1"": ""10.251.123.132"", ""PORT_1"": ""57542"", ""IP_ADDRESS_2"": ""10.251.123.132"", ""PORT_2"": ""50010""}"
27,E11,81109 205754 952 INFO dfs.DataNode$PacketResponder: Received block blk_8291449241650212794 of size 67108864 from /10.251.89.155,<*> <*> <*> <*> <*>: Received block blk_<*> of size <*> from /<*>,<DATE> <TIME> <PID> <LOG_LEVEL> <COMPONENT>: Received block blk_<BLOCK_ID> of size <SIZE> from /<IP_ADDRESS>,"{""DATE"": ""81109"", ""TIME"": ""205754"", ""PID"": ""952"", ""LOG_LEVEL"": ""INFO"", ""COMPONENT"": ""dfs.DataNode$PacketResponder"", ""BLOCK_ID"": ""8291449241650212794"", ""SIZE"": ""67108864"", ""IP_ADDRESS"": ""10.251.89.155""}","{""template"": ""<DATE> <TIME> <PID> <LOG_LEVEL> <COMPONENT>: Received block blk_<BLOCK_ID> of size <SIZE> from /<IP_ADDRESS>"", ""variables"": {""DATE"": ""81109"", ""TIME"": ""205754"", ""PID"": ""952"", ""LOG_LEVEL"": ""INFO"", ""COMPONENT"": ""dfs.DataNode$PacketResponder"", ""BLOCK_ID"": ""8291449241650212794"", ""SIZE"": ""67108864"", ""IP_ADDRESS"": ""10.251.89.155""}, ""original_log"": ""81109 205754 952 INFO dfs.DataNode$PacketResponder: Received block blk_8291449241650212794 of size 67108864 from /10.251.89.155""}",<*> <*> <*> <*> <*>: Received block blk_<*> of size <*> from /<*>,<DATE> <TIME> <PID> <LOG_LEVEL> <COMPONENT>: Received block blk_<BLOCK_ID> of size <SIZE> from /<IP_ADDRESS>,"{""DATE"": ""81109"", ""TIME"": ""205754"", ""PID"": ""952"", ""LOG_LEVEL"": ""INFO"", ""COMPONENT"": ""dfs.DataNode$PacketResponder"", ""BLOCK_ID"": ""8291449241650212794"", ""SIZE"": ""67108864"", ""IP_ADDRESS"": ""10.251.89.155""}"
