LineId,EventId,OriginalLog,TemplateGeneric,TemplateAnnotated,VariablesJson,Output,OutputTemplateGeneric,OutputTemplateAnnotated,OutputVariablesJson
1,E10,81109 203615 148 INFO dfs.DataNode$PacketResponder: PacketResponder 1 for block blk_38865049064139660 terminating,<*> <*> <*> <*> <*>: PacketResponder <*> for block blk_<*> terminating,<DATE> <TIME> <PID> <LOG_LEVEL> <COMPONENT>: PacketResponder <PACKET_RESPONDER_NUM> for block blk_<BLOCK_ID> terminating,"{""DATE"": ""81109"", ""TIME"": ""203615"", ""PID"": ""148"", ""LOG_LEVEL"": ""INFO"", ""COMPONENT"": ""dfs.DataNode$PacketResponder"", ""PACKET_RESPONDER_NUM"": ""1"", ""BLOCK_ID"": ""38865049064139660""}","{""template"": ""<ID_1> <ID_2> <ID_3> INFO dfs.DataNode$PacketResponder: PacketResponder <ID_4> for block blk_<ID_5> terminating"", ""variables"": {""ID_1"": ""81109"", ""ID_2"": ""203615"", ""ID_3"": ""148"", ""ID_4"": ""1"", ""ID_5"": ""38865049064139660""}, ""original_log"": ""81109 203615 148 INFO dfs.DataNode$PacketResponder: PacketResponder 1 for block blk_38865049064139660 terminating""}",<*> <*> <*> INFO dfs.DataNode$PacketResponder: PacketResponder <*> for block blk_<*> terminating,<ID_1> <ID_2> <ID_3> INFO dfs.DataNode$PacketResponder: PacketResponder <ID_4> for block blk_<ID_5> terminating,"{""ID_1"": ""81109"", ""ID_2"": ""203615"", ""ID_3"": ""148"", ""ID_4"": ""1"", ""ID_5"": ""38865049064139660""}"
2,E10,81109 203807 222 INFO dfs.DataNode$PacketResponder: PacketResponder 0 for block blk_-6952295868487656571 terminating,<*> <*> <*> <*> <*>: PacketResponder <*> for block blk_<*> terminating,<DATE> <TIME> <PID> <LOG_LEVEL> <COMPONENT>: PacketResponder <PACKET_RESPONDER_NUM> for block blk_<BLOCK_ID> terminating,"{""DATE"": ""81109"", ""TIME"": ""203807"", ""PID"": ""222"", ""LOG_LEVEL"": ""INFO"", ""COMPONENT"": ""dfs.DataNode$PacketResponder"", ""PACKET_RESPONDER_NUM"": ""0"", ""BLOCK_ID"": ""-6952295868487656571""}","{""template"": ""<ID_1> <ID_2> <ID_3> INFO dfs.DataNode$PacketResponder: PacketResponder <ID_4> for block blk_<BLOCK_ID> terminating"", ""variables"": {""ID_1"": ""81109"", ""ID_2"": ""203807"", ""ID_3"": ""222"", ""ID_4"": ""0"", ""BLOCK_ID"": ""-6952295868487656571""}, ""original_log"": ""81109 203807 222 INFO dfs.DataNode$PacketResponder: PacketResponder 0 for block blk_-6952295868487656571 terminating""}",<*> <*> <*> INFO dfs.DataNode$PacketResponder: PacketResponder <*> for block blk_<*> terminating,<ID_1> <ID_2> <ID_3> INFO dfs.DataNode$PacketResponder: PacketResponder <ID_4> for block blk_<BLOCK_ID> terminating,"{""ID_1"": ""81109"", ""ID_2"": ""203807"", ""ID_3"": ""222"", ""ID_4"": ""0"", ""BLOCK_ID"": ""-6952295868487656571""}"
3,E6,81109 204005 35 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_7128370237687728475 size 67108864,<*> <*> <*> <*> <*>: BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,<DATE> <TIME> <PID> <LOG_LEVEL> <COMPONENT>: BLOCK* NameSystem.addStoredBlock: blockMap updated: <IP_ADDRESS>:<PORT> is added to blk_<BLOCK_ID> size <SIZE>,"{""DATE"": ""81109"", ""TIME"": ""204005"", ""PID"": ""35"", ""LOG_LEVEL"": ""INFO"", ""COMPONENT"": ""dfs.FSNamesystem"", ""IP_ADDRESS"": ""10.251.73.220"", ""PORT"": ""50010"", ""BLOCK_ID"": ""7128370237687728475"", ""SIZE"": ""67108864""}","{""template"": ""<ID_1> <ID_2> <ID_3> INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <IP_ADDRESS>:<PORT> is added to blk_<BLOCK_ID> size <SIZE>"", ""variables"": {""ID_1"": ""81109"", ""ID_2"": ""204005"", ""ID_3"": ""35"", ""IP_ADDRESS"": ""10.251.73.220"", ""PORT"": ""50010"", ""BLOCK_ID"": ""7128370237687728475"", ""SIZE"": ""67108864""}, ""original_log"": ""81109 204005 35 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_7128370237687728475 size 67108864""}",<*> <*> <*> INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,<ID_1> <ID_2> <ID_3> INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <IP_ADDRESS>:<PORT> is added to blk_<BLOCK_ID> size <SIZE>,"{""ID_1"": ""81109"", ""ID_2"": ""204005"", ""ID_3"": ""35"", ""IP_ADDRESS"": ""10.251.73.220"", ""PORT"": ""50010"", ""BLOCK_ID"": ""7128370237687728475"", ""SIZE"": ""67108864""}"
4,E10,81109 204015 308 INFO dfs.DataNode$PacketResponder: PacketResponder 2 for block blk_8229193803249955061 terminating,<*> <*> <*> <*> <*>: PacketResponder <*> for block blk_<*> terminating,<DATE> <TIME> <PID> <LOG_LEVEL> <COMPONENT>: PacketResponder <PACKET_RESPONDER_NUM> for block blk_<BLOCK_ID> terminating,"{""DATE"": ""81109"", ""TIME"": ""204015"", ""PID"": ""308"", ""LOG_LEVEL"": ""INFO"", ""COMPONENT"": ""dfs.DataNode$PacketResponder"", ""PACKET_RESPONDER_NUM"": ""2"", ""BLOCK_ID"": ""8229193803249955061""}","{""template"": ""<ID_1> <ID_2> <ID_3> INFO dfs.DataNode$PacketResponder: PacketResponder <ID_4> for block blk_<ID_5> terminating"", ""variables"": {""ID_1"": ""81109"", ""ID_2"": ""204015"", ""ID_3"": ""308"", ""ID_4"": ""2"", ""ID_5"": ""8229193803249955061""}, ""original_log"": ""81109 204015 308 INFO dfs.DataNode$PacketResponder: PacketResponder 2 for block blk_8229193803249955061 terminating""}",<*> <*> <*> INFO dfs.DataNode$PacketResponder: PacketResponder <*> for block blk_<*> terminating,<ID_1> <ID_2> <ID_3> INFO dfs.DataNode$PacketResponder: PacketResponder <ID_4> for block blk_<ID_5> terminating,"{""ID_1"": ""81109"", ""ID_2"": ""204015"", ""ID_3"": ""308"", ""ID_4"": ""2"", ""ID_5"": ""8229193803249955061""}"
5,E10,81109 204106 329 INFO dfs.DataNode$PacketResponder: PacketResponder 2 for block blk_-6670958622368987959 terminating,<*> <*> <*> <*> <*>: PacketResponder <*> for block blk_<*> terminating,<DATE> <TIME> <PID> <LOG_LEVEL> <COMPONENT>: PacketResponder <PACKET_RESPONDER_NUM> for block blk_<BLOCK_ID> terminating,"{""DATE"": ""81109"", ""TIME"": ""204106"", ""PID"": ""329"", ""LOG_LEVEL"": ""INFO"", ""COMPONENT"": ""dfs.DataNode$PacketResponder"", ""PACKET_RESPONDER_NUM"": ""2"", ""BLOCK_ID"": ""-6670958622368987959""}","{""template"": ""<ID_1> <ID_2> <ID_3> INFO dfs.DataNode$PacketResponder: PacketResponder <ID_4> for block blk_<BLOCK_ID> terminating"", ""variables"": {""ID_1"": ""81109"", ""ID_2"": ""204106"", ""ID_3"": ""329"", ""ID_4"": ""2"", ""BLOCK_ID"": ""-6670958622368987959""}, ""original_log"": ""81109 204106 329 INFO dfs.DataNode$PacketResponder: PacketResponder 2 for block blk_-6670958622368987959 terminating""}",<*> <*> <*> INFO dfs.DataNode$PacketResponder: PacketResponder <*> for block blk_<*> terminating,<ID_1> <ID_2> <ID_3> INFO dfs.DataNode$PacketResponder: PacketResponder <ID_4> for block blk_<BLOCK_ID> terminating,"{""ID_1"": ""81109"", ""ID_2"": ""204106"", ""ID_3"": ""329"", ""ID_4"": ""2"", ""BLOCK_ID"": ""-6670958622368987959""}"
6,E6,81109 204132 26 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_3050920587428079149 size 67108864,<*> <*> <*> <*> <*>: BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,<DATE> <TIME> <PID> <LOG_LEVEL> <COMPONENT>: BLOCK* NameSystem.addStoredBlock: blockMap updated: <IP_ADDRESS>:<PORT> is added to blk_<BLOCK_ID> size <SIZE>,"{""DATE"": ""81109"", ""TIME"": ""204132"", ""PID"": ""26"", ""LOG_LEVEL"": ""INFO"", ""COMPONENT"": ""dfs.FSNamesystem"", ""IP_ADDRESS"": ""10.251.43.115"", ""PORT"": ""50010"", ""BLOCK_ID"": ""3050920587428079149"", ""SIZE"": ""67108864""}","{""template"": ""<ID_1> <ID_2> <ID_3> INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <IP_ADDRESS>:<PORT> is added to <BLOCK_ID> size <SIZE>"", ""variables"": {""ID_1"": ""81109"", ""ID_2"": ""204132"", ""ID_3"": ""26"", ""IP_ADDRESS"": ""10.251.43.115"", ""PORT"": ""50010"", ""BLOCK_ID"": ""blk_3050920587428079149"", ""SIZE"": ""67108864""}, ""original_log"": ""81109 204132 26 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_3050920587428079149 size 67108864""}",<*> <*> <*> INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,<ID_1> <ID_2> <ID_3> INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <IP_ADDRESS>:<PORT> is added to <BLOCK_ID> size <SIZE>,"{""ID_1"": ""81109"", ""ID_2"": ""204132"", ""ID_3"": ""26"", ""IP_ADDRESS"": ""10.251.43.115"", ""PORT"": ""50010"", ""BLOCK_ID"": ""blk_3050920587428079149"", ""SIZE"": ""67108864""}"
7,E6,81109 204324 34 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_7888946331804732825 size 67108864,<*> <*> <*> <*> <*>: BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,<DATE> <TIME> <PID> <LOG_LEVEL> <COMPONENT>: BLOCK* NameSystem.addStoredBlock: blockMap updated: <IP_ADDRESS>:<PORT> is added to blk_<BLOCK_ID> size <SIZE>,"{""DATE"": ""81109"", ""TIME"": ""204324"", ""PID"": ""34"", ""LOG_LEVEL"": ""INFO"", ""COMPONENT"": ""dfs.FSNamesystem"", ""IP_ADDRESS"": ""10.251.203.80"", ""PORT"": ""50010"", ""BLOCK_ID"": ""7888946331804732825"", ""SIZE"": ""67108864""}","{""template"": ""<ID_1> <ID_2> <ID_3> INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <IP_ADDRESS>:<PORT> is added to blk_<BLOCK_ID> size <SIZE>"", ""variables"": {""ID_1"": ""81109"", ""ID_2"": ""204324"", ""ID_3"": ""34"", ""IP_ADDRESS"": ""10.251.203.80"", ""PORT"": ""50010"", ""BLOCK_ID"": ""7888946331804732825"", ""SIZE"": ""67108864""}, ""original_log"": ""81109 204324 34 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_7888946331804732825 size 67108864""}",<*> <*> <*> INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,<ID_1> <ID_2> <ID_3> INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <IP_ADDRESS>:<PORT> is added to blk_<BLOCK_ID> size <SIZE>,"{""ID_1"": ""81109"", ""ID_2"": ""204324"", ""ID_3"": ""34"", ""IP_ADDRESS"": ""10.251.203.80"", ""PORT"": ""50010"", ""BLOCK_ID"": ""7888946331804732825"", ""SIZE"": ""67108864""}"
8,E6,81109 204453 34 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.85:50010 is added to blk_2377150260128098806 size 67108864,<*> <*> <*> <*> <*>: BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,<DATE> <TIME> <PID> <LOG_LEVEL> <COMPONENT>: BLOCK* NameSystem.addStoredBlock: blockMap updated: <IP_ADDRESS>:<PORT> is added to blk_<BLOCK_ID> size <SIZE>,"{""DATE"": ""81109"", ""TIME"": ""204453"", ""PID"": ""34"", ""LOG_LEVEL"": ""INFO"", ""COMPONENT"": ""dfs.FSNamesystem"", ""IP_ADDRESS"": ""10.250.11.85"", ""PORT"": ""50010"", ""BLOCK_ID"": ""2377150260128098806"", ""SIZE"": ""67108864""}","{""template"": ""<ID> <ID_1> <ID_2> INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <IP_ADDRESS>:<PORT> is added to <BLOCK_ID> size <SIZE>"", ""variables"": {""ID"": ""81109"", ""ID_1"": ""204453"", ""ID_2"": ""34"", ""IP_ADDRESS"": ""10.250.11.85"", ""PORT"": ""50010"", ""BLOCK_ID"": ""blk_2377150260128098806"", ""SIZE"": ""67108864""}, ""original_log"": ""81109 204453 34 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.85:50010 is added to blk_2377150260128098806 size 67108864""}",<*> <*> <*> INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,<ID> <ID_1> <ID_2> INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <IP_ADDRESS>:<PORT> is added to <BLOCK_ID> size <SIZE>,"{""ID"": ""81109"", ""ID_1"": ""204453"", ""ID_2"": ""34"", ""IP_ADDRESS"": ""10.250.11.85"", ""PORT"": ""50010"", ""BLOCK_ID"": ""blk_2377150260128098806"", ""SIZE"": ""67108864""}"
9,E10,81109 204525 512 INFO dfs.DataNode$PacketResponder: PacketResponder 2 for block blk_572492839287299681 terminating,<*> <*> <*> <*> <*>: PacketResponder <*> for block blk_<*> terminating,<DATE> <TIME> <PID> <LOG_LEVEL> <COMPONENT>: PacketResponder <PACKET_RESPONDER_NUM> for block blk_<BLOCK_ID> terminating,"{""DATE"": ""81109"", ""TIME"": ""204525"", ""PID"": ""512"", ""LOG_LEVEL"": ""INFO"", ""COMPONENT"": ""dfs.DataNode$PacketResponder"", ""PACKET_RESPONDER_NUM"": ""2"", ""BLOCK_ID"": ""572492839287299681""}","{""template"": ""<ID_1> <ID_2> <ID_3> INFO dfs.DataNode$PacketResponder: PacketResponder <ID_4> for block blk_<ID_5> terminating"", ""variables"": {""ID_1"": ""81109"", ""ID_2"": ""204525"", ""ID_3"": ""512"", ""ID_4"": ""2"", ""ID_5"": ""572492839287299681""}, ""original_log"": ""81109 204525 512 INFO dfs.DataNode$PacketResponder: PacketResponder 2 for block blk_572492839287299681 terminating""}",<*> <*> <*> INFO dfs.DataNode$PacketResponder: PacketResponder <*> for block blk_<*> terminating,<ID_1> <ID_2> <ID_3> INFO dfs.DataNode$PacketResponder: PacketResponder <ID_4> for block blk_<ID_5> terminating,"{""ID_1"": ""81109"", ""ID_2"": ""204525"", ""ID_3"": ""512"", ""ID_4"": ""2"", ""ID_5"": ""572492839287299681""}"
10,E11,81109 204655 556 INFO dfs.DataNode$PacketResponder: Received block blk_3587508140051953248 of size 67108864 from /10.251.42.84,<*> <*> <*> <*> <*>: Received block blk_<*> of size <*> from /<*>,<DATE> <TIME> <PID> <LOG_LEVEL> <COMPONENT>: Received block blk_<BLOCK_ID> of size <SIZE> from /<IP_ADDRESS>,"{""DATE"": ""81109"", ""TIME"": ""204655"", ""PID"": ""556"", ""LOG_LEVEL"": ""INFO"", ""COMPONENT"": ""dfs.DataNode$PacketResponder"", ""BLOCK_ID"": ""3587508140051953248"", ""SIZE"": ""67108864"", ""IP_ADDRESS"": ""10.251.42.84""}","{""template"": ""<ID_1> <ID_2> <ID_3> INFO dfs.DataNode$PacketResponder: Received block blk_<ID_4> of size <SIZE> from /<IP_ADDRESS>"", ""variables"": {""ID_1"": ""81109"", ""ID_2"": ""204655"", ""ID_3"": ""556"", ""ID_4"": ""3587508140051953248"", ""SIZE"": ""67108864"", ""IP_ADDRESS"": ""10.251.42.84""}, ""original_log"": ""81109 204655 556 INFO dfs.DataNode$PacketResponder: Received block blk_3587508140051953248 of size 67108864 from /10.251.42.84""}",<*> <*> <*> INFO dfs.DataNode$PacketResponder: Received block blk_<*> of size <*> from /<*>,<ID_1> <ID_2> <ID_3> INFO dfs.DataNode$PacketResponder: Received block blk_<ID_4> of size <SIZE> from /<IP_ADDRESS>,"{""ID_1"": ""81109"", ""ID_2"": ""204655"", ""ID_3"": ""556"", ""ID_4"": ""3587508140051953248"", ""SIZE"": ""67108864"", ""IP_ADDRESS"": ""10.251.42.84""}"
